Actual,Predicted
45764371.5,45764371.50000039
232366160.0,232366160.00000003
39405782.5,39405782.50000039
257982478.0,257982477.99999997
187991917.0,187991917.00000012
431489259.0,431489258.99999964
398295455.5,398295455.49999976
434654209.5,434654209.4999997
364997695.5,364997695.49999976
362536347.0,362536346.99999976
151984466.0,151984466.00000018
87661389.0,87661389.0000003
322354946.0,322354945.9999999
428111939.5,428111939.49999964
64144411.0,64144411.00000033
117148263.5,117148263.50000024
328623343.0,328623342.9999999
242422684.0,242422684.0
157444843.5,157444843.50000018
246865806.5,246865806.50000003
136097107.5,136097107.50000018
53366707.0,53366707.00000033
248141240.0,248141240.0
403149643.0,403149642.99999976
33430976.0,33430976.000000387
155645376.5,155645376.50000018
217696058.0,217696058.00000006
379402661.5,379402661.49999976
109355839.0,109355839.00000024
288148924.5,288148924.49999994
291421304.0,291421303.99999994
42723413.5,42723413.50000039
52454052.0,52454052.00000039
328880136.0,328880135.9999999
158129024.5,158129024.50000015
166341462.0,166341462.00000015
256906165.5,256906165.49999997
176225181.5,176225181.50000012
460335279.5,460335279.49999964
404426772.0,404426771.9999997
128152665.5,128152665.50000022
292253817.5,292253817.49999994
220702839.5,220702839.50000003
139905326.0,139905326.00000018
208954674.5,208954674.50000006
260782354.5,260782354.5
336772319.5,336772319.4999998
152561366.0,152561366.00000018
435071919.5,435071919.49999964
247204994.0,247204994.0
76130347.5,76130347.50000033
49944510.5,49944510.50000036
138362469.0,138362469.00000018
60123511.5,60123511.50000033
315332408.0,315332407.9999999
396125391.0,396125390.99999976
45481669.0,45481669.00000039
116886163.0,116886163.00000027
346473812.5,346473812.4999998
32909892.0,32909892.000000387
113080816.0,113080816.00000027
326225005.5,326225005.4999999
256542273.0,256542272.99999997
136799536.5,136799536.5000002
315995813.0,315995812.9999999
214148108.0,214148108.00000006
92127078.0,92127078.00000027
264596746.0,264596745.99999997
197552418.0,197552418.0000001
354072582.5,354072582.49999976
224355203.5,224355203.50000006
307913176.0,307913175.99999994
217927756.0,217927756.00000006
148363159.0,148363159.00000018
84343173.0,84343173.0000003
171564293.5,171564293.50000012
407543550.0,407543549.99999976
103019892.5,103019892.5000003
92343456.0,92343456.00000027
186152473.5,186152473.5000001
359497733.5,359497733.49999976
329841221.5,329841221.4999999
158274012.0,158274012.00000018
439362802.5,439362802.49999964
256702098.5,256702098.49999997
122086749.5,122086749.50000024
382989766.5,382989766.49999976
233186157.0,233186157.0
300376595.0,300376595.0
253466671.5,253466671.49999997
394447748.5,394447748.4999997
275829061.0,275829060.99999994
428578002.5,428578002.49999964
431687020.5,431687020.49999964
291821442.5,291821442.49999994
338532431.5,338532431.4999998
94925691.0,94925691.00000027
224630944.5,224630944.50000003
48162148.0,48162148.00000036
267670595.0,267670594.99999997
61921744.5,61921744.50000036
328417013.5,328417013.4999998
264731520.0,264731519.99999994
249276165.5,249276165.5
336230858.5,336230858.4999998
124820089.5,124820089.50000021
55993942.0,55993942.00000033
418467141.0,418467140.99999964
219945663.5,219945663.50000006
100840069.0,100840069.00000027
27581302.0,27581302.000000387
357000993.5,357000993.49999976
45816221.5,45816221.50000039
446112179.5,446112179.49999964
327640251.5,327640251.4999998
404999616.0,404999615.99999976
416570638.5,416570638.49999964
346311129.5,346311129.4999998
75861419.5,75861419.50000033
439315245.0,439315244.99999964
318639811.0,318639810.9999999
195616363.5,195616363.5000001
95519561.0,95519561.00000027
176904523.0,176904523.00000012
286231132.0,286231131.99999994
294447101.0,294447100.9999999
388486058.5,388486058.49999976
394306449.0,394306448.99999976
305929846.5,305929846.4999999
383945831.5,383945831.49999976
62803822.0,62803822.00000036
36750633.5,36750633.50000036
388277381.5,388277381.49999976
292614336.0,292614335.99999994
404999637.5,404999637.49999976
238018616.5,238018616.50000003
297099864.5,297099864.49999994
400604731.5,400604731.49999976
449215443.0,449215442.99999964
406518067.0,406518066.99999976
130735151.0,130735151.00000021
193397442.5,193397442.50000012
217330735.5,217330735.50000006
117731984.0,117731984.00000024
416469278.0,416469277.99999976
229080440.5,229080440.50000003
383689783.0,383689782.99999976
423569143.0,423569142.99999964
284487037.5,284487037.49999994
221958652.0,221958652.00000003
45556538.5,45556538.50000039
388738054.0,388738053.99999976
55318075.5,55318075.50000036
325012565.0,325012564.9999999
316917824.0,316917823.99999994
384490975.5,384490975.49999976
59210858.5,59210858.50000033
187834443.0,187834443.0000001
298361271.0,298361270.9999999
143098366.0,143098366.00000018
450341837.5,450341837.49999964
424273109.5,424273109.49999964
94165111.5,94165111.50000027
